"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0.05,1.7,18250.5,181.133333333333,4.96666666666667,16.1333333333333,50.0333333333333,65.5,0,29.0333333333333,56392131.1333333,5e-15,0
0.05,2.1,17222.2833333333,1075090030.8,33580959.1666667,95894471.7,50.0333333333333,383568056.066667,0.1,568.4,3103735441320.77,5e-15,0.1
0.05,1.9,18250.5,136569955.066667,4261531.83333333,12175305.1333333,50.0666666666667,48700597.5333333,0,600.9,325346836294.833,5e-15,0
0.05,2.3,16264.35,1829583679.4,57272458.6333333,163268602.033333,50.0666666666667,652963806.9,0.233333333333333,536.766666666667,5128097090184.93,5e-15,0.233333333333333
0.05,2.5,16747.5,2498286385.83333,78086315.8333333,223006877.133333,50.0333333333333,892024531.9,0.133333333333333,553.533333333333,7236533492056.37,5e-15,0.133333333333333
0.05,3.3,15260.8833333333,4297823703.7,134783744.233333,384014855.2,50.2,1536089971.73333,0.366666666666667,505,11498312833620.6,5e-15,0.366666666666667
0.05,2.7,15153.7833333333,3045312735.56667,95295819.0666667,271917059.533333,50.1,1087666013.9,0.266666666666667,500.766666666667,8010344367144.8,5e-15,0.266666666666667
0.05,2.9,16006.35,3520192795.1,110243083.833333,314398012.133333,50.1333333333333,1257593356.13333,0.266666666666667,529.1,9829511726180.7,5e-15,0.266666666666667
0.05,3.1,15942.9666666667,3936925276.46667,123323742.133333,351687727.233333,50.1333333333333,1406750413.16667,0.233333333333333,527.533333333333,10976526485724.6,5e-15,0.233333333333333
0.05,3.5,14418,4615000039.06667,144961122.166667,412429536,50.3,1649715993.26667,0.433333333333333,476.933333333333,11667896528020.6,5e-15,0.433333333333333
0.05,3.9,16816.2666666667,5177561854.6,162289087.2,462820864.8,50.1333333333333,1851289320.1,0.3,557.366666666667,15344913256063.2,5e-15,0.3
0.05,4.1,14430.5666666667,5414474686.2,169655850.5,484050016.7,50.1,1936206499.53333,0.433333333333333,477.9,13762980414559.2,5e-15,0.433333333333333
0.05,3.7,14950.0666666667,4924937766.1,154125803.5,440172992.4,50.0333333333333,1760696931.36667,0.4,495.033333333333,12935755312123.9,5e-15,0.4
0.05,4.3,15391.6833333333,5608271622.53333,176506347.266667,501457274,50.4,2005828490.66667,0.3,510.1,15229329271122.4,5e-15,0.3
0.05,4.7,15673.7833333333,5992841114.13333,188105404.8,535929701.2,50.2,2143703735.9,0.333333333333333,519.533333333333,16598967687562,5e-15,0.333333333333333
0.05,4.5,13942.8166666667,5807053304.1,182605326.266667,519278883,50.3333333333333,2077116425.6,0.4,461.833333333333,14275756929338.3,5e-15,0.4
0.05,4.9,14384.7166666667,6148684131.13333,193380340,549920581.6,50.3333333333333,2199685124.13333,0.433333333333333,476.7,15621704076775.8,5e-15,0.433333333333333
0.05,5.1,14550.2166666667,6282168332.06667,198474350.733333,562056313.7,50.3333333333333,2246610871.76667,0.333333333333333,482.2,16200499894693.1,5e-15,0.333333333333333
0.075,1.1,1186.88333333333,0,0,0.133333333333333,46.8,0.433333333333333,0,9.83333333333333,13081132.0666667,5e-15,0
0.075,0.9,1328.55,0,0,0.0333333333333333,41.5333333333333,0.133333333333333,0,11.6333333333333,9390370.33333333,5e-15,0
0.075,1.3,1440.58333333333,0,0,0.266666666666667,49.8333333333333,0.9,0,10.9666666666667,18190364.4333333,5e-15,0
0.075,0.7,2626.91666666667,0,0,0.0666666666666667,21.6333333333333,0.233333333333333,0,14.6,6114259.4,5e-15,0
0.075,1.5,3328.56666666667,0,0,0.2,50.1,0.8,0,14.1666666666667,26798966.2,5e-15,0
0.075,0.5,14940.2833333333,371.1,3.46666666666667,31.3666666666667,2.73333333333333,129.833333333333,0,10.9,1747423.56666667,5e-15,0
0.075,1.7,17934.1833333333,184.966666666667,5.36666666666667,16.6,50.1,66.7333333333333,0,31.6,58497832.8666667,5e-15,0
0.075,2.1,17007.0333333333,1144640004.66667,35477626.4,101365784.7,50,405458096.166667,0.166666666666667,561.033333333333,3244183863206.5,5e-15,0.166666666666667
0.075,1.9,18003.8833333333,217220607.4,6729161.5,19227312.2333333,50,76907128.1,0.0333333333333333,593.633333333333,550993016429.967,5e-15,0.0333333333333333
0.075,2.3,17203.6666666667,1879956234.4,58506834.0333333,166557253.9,50.2666666666667,666231927.366667,0.133333333333333,568.366666666667,5516996979050.7,5e-15,0.133333333333333
0.075,2.5,15926.7166666667,2537965668.1,78900428.3666667,224921957.166667,50.1666666666667,899692542.966667,0.266666666666667,526.1,6933458929094.43,5e-15,0.266666666666667
0.075,3.3,15792.8333333333,4344404234.7,135136105.433333,385363789.266667,50.1333333333333,1541455302.1,0.233333333333333,522.466666666667,11937202943082.5,5e-15,0.233333333333333
0.075,2.7,15931.75,3088743994.93333,96056297.2333333,273808708.833333,50.1666666666667,1095238594.93333,0.3,526.833333333333,8484113074495.33,5e-15,0.3
0.075,2.9,14856.8,3570035701.9,110946923.933333,316548750.4,50.1,1266196909.53333,0.4,491.133333333333,9179197862795.93,5e-15,0.4
0.075,3.1,16289.4166666667,3980679840.7,123797664.766667,353041365.2,50.1333333333333,1412169269.63333,0.333333333333333,539.1,11268039119063,5e-15,0.333333333333333
0.075,3.5,15619.6833333333,4666702220.86667,145180582.766667,414020359.566667,50.1333333333333,1656111292.6,0.366666666666667,517.233333333333,12708284055042.7,5e-15,0.366666666666667
0.075,3.9,16160.9333333333,5212334827.3,162208636.766667,462568695.133333,50.1333333333333,1850284971.13333,0.2,535.333333333333,14730045005305.1,5e-15,0.2
0.075,4.1,12776.8833333333,5436491085.36667,169527378.2,482529577.633333,50.2666666666667,1930136271.3,0.466666666666667,422.9,12123752515721.5,5e-15,0.466666666666667
0.075,3.7,13113.2333333333,4956665724.93333,154151031.233333,439817902.233333,50.1,1759264626,0.533333333333333,433.9,11314546468421.2,5e-15,0.533333333333333
0.075,4.3,12208,5656722695.16667,176075877.7,502113440.833333,50.1333333333333,2008440883.66667,0.5,403.9,12048462679306.6,5e-15,0.5
0.075,4.7,13441.3833333333,6023220178.06667,187630914.433333,534773516.633333,50.1666666666667,2139082570.63333,0.433333333333333,445.233333333333,14172508502122.3,5e-15,0.433333333333333
0.075,4.5,15815.45,5792434623.26667,182287007.266667,514476634.5,50.3,2055358658.03333,0.2,524.033333333333,16191535891593.6,5e-15,0.2
0.075,4.9,14266.75,6187531073.06667,192645326.433333,549373663.966667,50.1333333333333,2197494572.9,0.466666666666667,472.9,15483474700377.9,5e-15,0.466666666666667
